"Total Transaction Value
($M)","M&A Completion Date
(dd/mm/yyyy)"
6.10,15/07/2022
4.50,31/12/2015
98.00,27/06/2018
25.49,30/05/2016
0.33,19/04/2021
1.50,09/05/2022
130.00,21/06/2016
5.60,31/12/2016
82.00,30/06/2018
62.00,28/07/2015
36.05,26/03/2015
34.40,17/12/2019
363.19,23/03/2018
55.67,01/12/2017
"1,067.94",02/03/2015
5.61,20/11/2015
1.31,30/12/2016
34.00,28/02/2017
9.75,30/04/2015
0.58,31/12/2015
3.96,19/10/2018
3.95,01/03/2022
0.19,24/05/2018
2.42,13/01/2016
23.90,21/12/2017
150.00,21/03/2022
0.92,11/04/2017
115.98,01/07/2016
277.22,06/01/2022
180.00,06/05/2019
0.07,01/08/2015
173.82,01/03/2018
15.04,31/07/2015
79.00,18/05/2015
0.70,01/04/2017
17.40,01/04/2021
0.08,05/04/2017
0.50,31/12/2015
4.50,30/01/2015
200.08,22/12/2015
NA,14/08/2017
67.31,28/05/2015
1.06,18/09/2015
245.00,26/06/2017
156.09,28/03/2018
58.76,18/10/2017
859.58,18/12/2015
75.00,01/10/2015
1.20,03/02/2015
444.38,31/01/2018
200.00,25/05/2022
4.38,14/12/2016
13.01,18/03/2016
8.00,10/09/2015
0.14,03/08/2015
173.79,17/03/2017
15.20,31/12/2019
94.65,16/11/2022
49.38,11/01/2021
208.00,31/12/2015
478.96,22/11/2016
0.47,15/03/2019
8.29,21/04/2017
18.80,07/07/2015
111.09,20/07/2017
1.41,21/05/2017
2.89,29/07/2021
6.70,03/01/2022
10.90,01/01/2022
7.70,01/08/2018
0.70,30/09/2017
12.52,20/08/2020
4.28,02/11/2017
1.82,02/10/2017
825.00,01/12/2017
1.05,15/12/2020
82.70,23/09/2019
10.21,02/04/2020
1.15,20/08/2018
247.00,01/04/2021
0.02,30/06/2020
0.93,26/08/2016
3.57,28/08/2015
42.00,10/11/2022
0.01,24/06/2016
27.72,20/08/2018
41.00,22/06/2021
19.60,30/09/2016
85.00,05/05/2015
17.60,05/03/2021
41.20,30/09/2020
100.00,11/09/2017
147.96,29/09/2017
72.00,04/01/2021
37.60,10/05/2016
25.16,15/07/2019
3.92,16/08/2021
0.62,16/05/2018
9.95,18/09/2018
78.21,19/05/2016
480.75,25/08/2020
110.00,30/09/2017
"2,135.00",06/10/2017
112.38,09/05/2016
4.80,27/04/2015
