"Total Transaction Value
($M)","M&A Completion Date
(dd/mm/yyyy)"
21.34,27/09/2017
0.98,01/01/2018
0.97,28/04/2021
0.05,31/03/2019
3.35,01/01/2015
302.70,01/08/2022
349.80,17/06/2015
163.49,16/07/2015
481.42,25/05/2017
7.03,02/07/2018
0.02,02/02/2016
20.83,30/06/2017
64.68,04/02/2020
11.57,04/05/2022
65.00,01/04/2016
24.44,09/10/2020
17.20,28/05/2019
23.00,01/09/2016
30.00,31/05/2015
11.53,10/11/2017
10.00,01/06/2016
0.50,01/09/2015
34.75,18/03/2021
54.30,01/11/2018
31.83,15/09/2017
15.80,14/12/2016
700.00,29/06/2015
44.98,03/12/2015
46.62,30/11/2015
10.50,29/03/2019
4.24,31/01/2019
0.94,20/03/2015
5.00,31/12/2015
17.00,14/07/2018
0.08,15/08/2017
45.00,02/09/2021
8.33,07/03/2020
469.05,22/12/2015
43.90,10/10/2019
5.00,25/08/2015
0.60,04/12/2015
39.50,14/01/2015
0.85,02/05/2016
300.00,30/11/2021
42.00,06/06/2019
24.04,30/09/2020
3.85,04/02/2016
3.80,11/07/2016
580.00,18/12/2019
6.29,14/11/2019
4.59,30/09/2019
58.60,28/01/2016
61.20,12/02/2015
53.58,01/08/2020
2.31,04/07/2022
4.60,16/11/2016
5.90,13/09/2016
3.12,18/01/2019
174.08,28/10/2022
73.60,27/03/2017
0.29,21/05/2019
0.20,15/11/2019
1.17,13/03/2015
8.28,01/06/2021
3.93,09/11/2018
7.68,17/10/2018
105.21,05/08/2022
977.92,01/03/2018
0.14,11/08/2015
106.34,07/08/2018
134.39,30/08/2020
243.44,14/06/2017
72.40,25/07/2017
8.83,13/04/2018
7.03,09/03/2022
31.73,31/12/2021
5.43,08/12/2017
47.14,31/10/2016
6.53,30/01/2015
1.04,08/03/2017
8.50,30/04/2015
336.91,31/12/2020
3.59,05/02/2016
39.49,06/12/2019
12.40,30/04/2017
5.31,14/12/2016
22.00,01/11/2017
47.03,20/04/2018
28.26,02/01/2017
4.00,15/02/2019
18.95,08/02/2022
0.25,02/05/2022
1.71,19/04/2018
2.02,09/04/2020
1.43,19/12/2019
611.15,26/09/2019
4.50,01/08/2021
2.52,05/02/2019
3.32,11/02/2021
10.35,07/08/2018
3.00,20/12/2021
21.24,05/06/2018
0.27,31/05/2021
2.87,18/05/2022
1.07,29/05/2019
0.83,31/08/2021
17.22,30/09/2019
1.50,23/07/2018
4.00,14/03/2022
11.27,31/03/2019
0.80,01/12/2020
11.37,06/12/2022
1.51,01/08/2016
12.00,31/12/2018
22.00,20/02/2018
0.15,16/07/2021
0.30,26/02/2021
1.98,04/03/2019
2.88,03/09/2018
65.00,29/07/2022
1.13,27/11/2019
0.66,05/10/2019
1.16,20/01/2017
0.19,07/06/2021
2.04,21/02/2022
0.14,28/02/2019
1.01,18/04/2016
24.00,02/04/2018
1.48,01/12/2021
75.00,30/09/2021
0.44,17/12/2018
0.02,04/12/2019
0.51,10/02/2020
20.70,23/06/2015
112.13,31/08/2018
31.94,03/01/2022
0.26,28/04/2022
2.85,09/05/2018
3.00,22/07/2018
19.96,31/03/2016
8.90,02/11/2016
70.00,28/02/2018
16.97,21/02/2018
1.68,03/07/2017
77.60,16/02/2022
5.57,06/10/2016
0.74,08/11/2019
0.17,09/10/2018
1.25,01/03/2017
0.02,06/03/2020
22.00,30/07/2021
18.00,09/01/2019
2.41,21/12/2017
10.13,13/05/2021
0.92,03/08/2021
2.27,16/12/2022
0.04,01/07/2021
37.20,31/10/2019
38.00,13/10/2022
1.00,31/08/2018
6.50,10/07/2018
0.00,31/12/2020
26.94,17/12/2019
26.80,31/05/2018
370.92,31/12/2015
3.06,22/12/2016
22.26,03/10/2020
27.63,11/11/2015
0.53,22/09/2021
3.24,12/10/2021
1.05,31/05/2018
15.32,10/08/2017
0.11,30/01/2020
0.85,29/04/2015
0.11,29/04/2015
7.95,17/11/2015
3.33,21/08/2018
47.80,15/03/2017
134.97,31/05/2021
177.73,08/01/2019
634.09,22/04/2022
67.68,23/12/2021
3.92,01/07/2021
0.49,20/11/2019
142.47,03/04/2017
631.02,05/11/2015
21.46,24/04/2015
37.55,24/04/2015
1.61,24/04/2015
65.80,06/04/2022
"1,180.56",01/04/2018
11.30,15/03/2015
185.82,01/08/2016
1.71,31/10/2019
0.03,31/03/2020
27.50,07/08/2017
71.47,29/01/2021
3.62,21/12/2018
137.54,20/09/2021
"1,426.02",31/12/2020
20.54,19/10/2021
7.65,15/12/2015
3.02,07/12/2015
1.68,31/03/2015
200.00,31/03/2019
6.79,26/10/2017
137.81,03/08/2016
284.76,06/09/2018
92.22,31/08/2021
19.00,11/10/2022
50.48,31/07/2017
58.87,11/03/2021
10.38,01/08/2017
76.32,01/04/2019
"1,300.00",31/03/2017
17.23,11/01/2016
14.50,17/04/2015
89.47,17/02/2017
0.01,16/01/2018
5.63,31/10/2016
3.28,16/03/2017
3.13,29/07/2016
2.50,25/08/2016
2.13,12/03/2019
607.31,31/08/2021
2.29,25/11/2021
11.45,25/11/2021
2.05,31/03/2015
2.33,11/08/2017
77.69,30/06/2016
2.31,26/01/2016
1.18,30/06/2017
2.88,31/08/2018
1.77,30/06/2017
20.17,07/01/2022
0.51,14/06/2018
379.86,21/07/2016
28.00,28/05/2021
4.57,30/06/2017
8.06,07/08/2015
6.16,03/10/2016
2.46,29/05/2018
10.00,31/12/2020
0.77,06/07/2022
5.17,20/04/2021
0.10,13/07/2020
8.89,08/05/2017
"18,587.86",05/11/2018
124.90,01/04/2019
0.54,31/08/2017
0.23,30/09/2020
0.04,20/03/2017
413.02,24/07/2018
"1,800.00",09/03/2018
41.30,29/09/2017
0.55,29/03/2017
11.00,27/05/2015
20.00,01/06/2018
451.31,17/12/2017
50.67,09/11/2017
38.00,25/07/2017
1.15,15/12/2016
13.48,06/04/2018
"2,560.10",29/10/2021
2.60,09/08/2016
15.68,27/06/2016
3.83,07/04/2015
4.88,16/03/2015
32.15,24/07/2015
47.62,17/12/2020
1.80,21/12/2021
9.80,13/05/2016
133.50,20/12/2018
33.16,31/12/2015
1.58,08/10/2021
17.53,01/10/2019
239.45,06/01/2017
"1,472.27",22/09/2016
334.08,13/12/2016
"1,152.89",06/02/2017
92.47,18/03/2015
46.72,08/05/2015
946.63,25/06/2020
123.80,29/03/2019
10.66,22/07/2016
3.40,31/12/2016
1.50,14/01/2015
265.53,10/07/2018
20.89,18/06/2019
14.25,31/10/2017
17.00,31/08/2015
0.11,17/12/2018
20.00,30/06/2016
201.64,21/02/2017
12.22,18/08/2015
95.33,01/12/2017
1.13,31/03/2017
12.79,29/02/2020
7.46,27/09/2019
37.32,05/04/2017
0.13,23/12/2016
2.22,19/04/2021
3.23,08/07/2016
0.05,01/05/2017
6.38,22/10/2019
"1,314.70",23/08/2021
7.65,23/01/2015
230.81,22/05/2019
15.10,26/02/2021
330.20,30/09/2016
0.83,18/07/2018
NA,29/08/2017
40.00,19/04/2022
0.53,31/03/2016
1.89,13/03/2020
1.40,01/06/2019
170.26,01/06/2015
18.40,03/06/2019
"1,408.20",19/06/2018
6.00,22/03/2022
4.32,05/11/2019
2.78,06/03/2015
0.00,09/06/2020
0.89,30/06/2020
25.91,02/05/2017
11.00,10/11/2021
68.97,28/08/2020
8.83,27/09/2022
23.20,30/11/2015
6.70,30/04/2015
100.00,31/12/2019
3.39,19/11/2015
938.79,31/01/2017
25.91,29/05/2020
1.24,12/04/2018
"3,750.00",22/07/2021
0.01,16/09/2015
17.58,10/04/2015
11.99,21/02/2015
63.50,06/02/2018
0.78,27/02/2015
4.90,30/08/2016
2.20,17/09/2021
584.10,09/08/2017
8.36,30/06/2015
14.20,28/07/2022
50.00,26/08/2022
29.50,20/06/2017
55.65,06/10/2017
60.52,23/12/2020
1.41,07/11/2020
4.48,15/12/2016
9.67,28/02/2021
3.25,07/04/2017
87.10,25/11/2015
37.75,06/09/2016
83.50,04/04/2022
341.30,05/11/2018
113.09,10/03/2017
0.85,13/03/2019
0.73,29/07/2016
0.01,01/06/2017
0.72,31/12/2018
198.96,28/04/2015
28.26,10/08/2018
0.02,22/07/2021
238.51,21/04/2021
0.08,30/06/2016
0.28,02/10/2017
0.07,30/04/2022
3.06,15/08/2018
688.47,31/01/2018
"2,398.71",04/03/2022
155.91,01/05/2015
0.67,11/01/2017
228.93,31/12/2017
0.62,06/08/2015
67.00,01/07/2017
2.00,01/08/2017
16.83,01/04/2015
0.20,30/11/2017
17.77,31/01/2019
1.50,08/05/2015
544.66,08/01/2019
14.62,01/10/2016
11.19,22/03/2021
5.04,16/12/2016
4.61,10/01/2019
0.32,30/04/2019
2.07,30/06/2018
2.98,25/01/2017
0.40,18/09/2018
3.29,01/03/2019
21.70,10/03/2020
9.57,08/02/2018
NA,08/09/2020
9.13,27/09/2018
0.40,31/03/2021
1.49,19/08/2019
3.72,11/10/2019
1.20,21/05/2021
31.31,31/10/2015
2.87,31/12/2021
292.00,03/10/2016
58.10,09/03/2022
2.48,15/06/2021
47.70,18/10/2017
2.20,27/01/2021
29.16,17/08/2016
5.00,18/11/2015
27.90,01/09/2021
22.00,29/05/2015
1.92,29/09/2016
2.49,02/02/2018
20.70,12/09/2016
45.17,01/12/2021
203.91,02/05/2016
8.26,06/01/2017
4.39,30/06/2016
44.08,22/02/2018
5.45,29/10/2020
"1,160.33",03/11/2017
0.35,09/02/2015
0.00,31/12/2015
42.01,30/04/2016
4.12,31/08/2017
61.23,01/10/2017
"2,175.06",30/11/2017
76.38,31/01/2019
0.75,31/12/2018
39.48,31/08/2018
28.06,01/10/2018
0.51,27/04/2018
15.65,01/01/2017
0.11,12/01/2016
755.07,18/12/2018
275.95,17/05/2017
0.13,22/05/2018
"2,816.46",30/07/2015
0.14,30/11/2017
0.26,11/12/2017
3.67,31/01/2018
111.01,30/09/2021
43.23,09/02/2018
8.80,01/05/2015
42.20,06/12/2019
469.00,31/07/2017
71.20,29/04/2016
22.81,10/03/2020
41.41,06/03/2015
24.00,03/06/2016
32.92,18/12/2017
3.59,01/08/2016
13.64,01/07/2017
1.30,01/07/2017
1.43,29/08/2016
14.00,01/10/2015
23.50,08/06/2021
10.00,13/04/2017
30.32,04/02/2019
40.97,22/11/2017
23.36,03/02/2020
224.87,31/07/2015
0.02,04/12/2019
4.13,27/12/2017
0.03,01/10/2015
24.61,30/06/2015
0.00,09/06/2020
6.20,01/04/2016
"3,115.71",28/07/2021
35.58,30/09/2019
4.69,03/02/2020
10.98,24/07/2015
0.15,11/01/2016
0.38,31/12/2019
2.82,28/09/2020
2.69,27/02/2015
950.00,02/11/2018
19.50,06/10/2017
976.30,13/01/2022
812.05,19/10/2021
86.67,01/11/2017
1.75,01/05/2017
22.50,17/06/2016
635.00,26/04/2021
0.08,15/07/2020
29.22,18/09/2018
3.91,04/06/2021
0.32,31/01/2017
2.90,07/01/2015
268.63,29/09/2021
9.01,27/10/2017
24.00,30/06/2015
5.86,19/12/2017
0.21,28/06/2016
147.00,13/07/2018
21.90,12/04/2018
22.05,25/01/2020
0.00,16/09/2019
22.00,21/09/2017
98.95,31/12/2018
"2,063.83",07/10/2019
18.00,02/10/2019
24.40,19/10/2015
380.24,30/12/2021
"1,395.84",24/12/2019
36.59,30/03/2020
43.00,19/04/2017
229.23,18/10/2021
522.68,23/12/2016
834.60,06/07/2017
207.79,21/12/2018
981.40,21/04/2017
108.04,30/09/2021
17.14,23/01/2015
17.42,30/06/2016
0.06,05/06/2020
"2,525.14",21/06/2021
"1,200.00",08/10/2015
18.70,03/07/2020
214.23,07/01/2020
89.69,15/11/2020
81.54,29/09/2022
17.25,29/05/2015
163.80,31/12/2016
9.00,31/12/2020
39.30,08/01/2020
"3,100.00",02/01/2020
62.00,15/06/2017
22.00,31/12/2016
3.00,07/10/2015
0.12,05/02/2016
38.54,29/03/2019
3.02,30/04/2019
65.00,11/08/2021
8.91,20/09/2018
90.00,31/07/2017
129.21,22/12/2016
"1,350.00",31/12/2020
9.18,07/10/2016
9.00,17/10/2018
0.52,12/02/2019
238.47,06/03/2015
18.65,05/03/2020
212.69,28/12/2017
476.31,27/05/2021
6.00,07/08/2015
5.54,11/09/2017
2.54,30/10/2018
123.21,31/10/2019
1.40,29/03/2016
158.00,28/02/2019
349.81,05/06/2015
26.60,03/05/2016
0.50,31/03/2019
2.39,30/11/2018
585.14,01/04/2017
2.25,01/04/2022
6.14,03/07/2021
1.29,06/05/2020
0.39,30/09/2015
2.00,15/06/2015
2.34,14/01/2020
1.42,28/10/2016
2.12,28/02/2022
80.03,20/12/2017
139.02,03/03/2017
2.35,01/01/2019
847.51,01/05/2020
118.81,31/12/2019
0.00,01/02/2017
0.15,10/04/2017
27.56,11/10/2018
12.06,14/02/2019
0.34,11/12/2017
1.50,21/03/2018
24.81,01/10/2020
4.37,12/11/2019
0.12,01/10/2015
51.13,26/10/2022
12.86,04/11/2016
8.94,01/02/2018
21.63,01/04/2015
2.15,20/11/2015
75.00,04/06/2021
1.79,01/04/2019
121.32,07/01/2021
45.15,25/01/2021
67.70,19/05/2015
12.90,08/08/2016
0.03,04/10/2019
209.60,17/07/2019
280.16,16/04/2021
16.03,10/09/2016
"1,400.00",01/07/2022
8.02,18/09/2017
19.00,06/07/2018
0.20,18/10/2015
0.67,31/12/2015
39.00,20/06/2019
8.18,31/08/2022
11.84,04/08/2021
558.56,30/05/2017
3.78,23/03/2018
0.06,30/08/2022
4.83,19/11/2019
30.39,01/04/2016
4.40,03/02/2015
9.25,31/08/2018
50.58,01/04/2019
"1,094.58",01/09/2016
263.81,14/04/2022
10.40,01/12/2022
1.08,26/05/2021
2.95,21/10/2022
1.50,28/02/2018
3.82,31/10/2018
4.14,30/11/2015
14.66,22/05/2016
5.01,28/02/2018
8.00,28/02/2018
10.20,01/11/2017
9.04,23/03/2016
2.82,20/05/2015
279.99,02/09/2019
55.71,10/10/2018
5.47,22/07/2020
56.43,24/07/2021
0.19,23/10/2017
67.80,02/01/2021
100.62,26/10/2017
39.61,04/10/2016
430.13,21/11/2016
1.19,28/02/2018
2.32,02/03/2015
0.55,01/08/2018
0.93,02/06/2017
3.03,22/10/2020
8.78,21/12/2015
80.62,21/07/2022
11.90,01/05/2017
27.53,26/09/2016
0.28,23/09/2015
24.42,27/10/2017
33.30,17/07/2015
2.03,21/05/2019
0.42,20/02/2019
279.29,16/02/2022
0.17,31/05/2017
7.93,11/11/2021
1.39,30/06/2015
875.00,10/10/2018
20.42,09/09/2016
"1,258.64",24/04/2015
663.02,31/07/2015
12.49,13/04/2021
0.07,23/10/2015
8.37,27/02/2018
30.21,30/09/2016
9.98,13/12/2019
205.70,08/12/2015
15.77,22/09/2020
6.61,10/01/2022
62.06,31/12/2016
35.27,04/01/2021
40.57,20/03/2019
40.62,29/06/2019
"3,911.00",01/05/2015
16.19,24/10/2018
3.64,04/06/2020
0.94,04/06/2020
0.86,13/02/2019
20.36,10/08/2016
0.04,09/11/2021
175.00,26/07/2019
"1,050.00",11/01/2018
198.47,08/03/2019
14.82,16/07/2021
0.06,22/01/2020
800.15,14/05/2018
62.43,23/07/2020
531.36,14/05/2018
11.17,03/04/2018
3.80,30/06/2021
69.28,21/05/2018
10.49,13/12/2017
2.53,14/07/2017
18.43,09/09/2019
3.46,30/06/2018
63.23,07/07/2022
0.76,30/06/2015
886.50,09/12/2021
58.72,15/04/2016
0.02,31/03/2016
54.57,01/10/2017
864.87,30/09/2022
17.78,10/11/2017
"1,200.00",22/05/2017
0.50,10/07/2018
32.09,01/05/2019
9.32,02/06/2021
5.82,30/06/2017
6.08,30/06/2022
970.00,30/04/2016
278.37,24/06/2016
9.57,27/12/2019
1.02,17/12/2019
8.63,31/03/2019
66.25,04/04/2019
4.71,07/02/2017
3.00,06/09/2018
40.00,31/10/2022
31.25,21/03/2016
"8,267.90",06/07/2022
"1,450.00",01/03/2021
23.98,31/12/2016
5.30,01/06/2018
18.36,02/03/2015
38.50,20/06/2016
0.44,31/08/2020
29.35,23/07/2021
50.00,10/02/2020
18.08,30/03/2020
2.33,23/11/2017
129.88,04/11/2016
12.72,16/02/2015
400.00,20/08/2015
38.30,21/06/2021
4.95,15/11/2019
2.47,01/05/2016
12.72,15/03/2018
3.94,28/03/2017
2.00,04/10/2021
42.23,14/06/2019
4.56,30/04/2016
25.66,19/12/2017
162.99,30/06/2019
16.34,26/09/2015
86.30,28/02/2018
239.20,08/07/2016
73.23,20/07/2017
10.58,28/02/2018
173.44,28/02/2015
61.72,20/04/2015
1.17,05/10/2018
0.04,04/03/2015
2.58,26/06/2017
9.91,28/08/2018
0.05,07/05/2020
0.14,17/02/2015
490.20,02/08/2016
4.60,04/03/2016
6.47,03/04/2019
465.27,07/05/2015
4.02,10/03/2015
280.00,01/05/2015
21.00,17/09/2020
0.41,04/07/2017
3.36,21/04/2017
42.22,01/08/2017
0.08,30/06/2015
0.02,31/12/2019
4.47,09/11/2015
11.90,01/12/2015
140.03,08/04/2021
35.87,31/12/2017
1.14,04/07/2017
3.50,08/01/2016
5.70,25/10/2018
1.30,28/04/2021
15.63,14/07/2017
"2,263.65",07/06/2020
0.00,19/03/2021
7.00,02/08/2018
34.02,02/11/2019
2.42,23/09/2021
"2,129.32",30/06/2016
143.65,01/05/2015
55.00,01/06/2018
278.99,15/01/2018
59.41,31/12/2016
21.11,22/05/2020
355.80,01/04/2021
67.97,24/06/2015
1.60,03/07/2022
126.00,03/04/2018
2.61,19/03/2021
46.88,28/02/2017
0.16,14/05/2020
149.90,30/06/2018
5.57,01/04/2020
1.50,10/05/2017
6.00,24/06/2016
33.28,31/12/2018
6.97,12/09/2019
21.50,01/07/2016
17.46,10/06/2016
72.00,07/11/2016
15.43,30/12/2016
6.77,11/09/2018
0.71,31/07/2019
33.59,10/11/2016
11.43,02/02/2015
997.00,02/09/2021
29.00,31/07/2015
10.10,30/05/2018
11.84,06/07/2015
0.26,31/12/2016
171.86,09/06/2017
68.72,07/01/2015
296.20,01/07/2021
50.00,31/12/2017
176.19,01/06/2018
74.30,09/01/2017
12.18,31/12/2019
8.37,31/08/2021
3.50,01/05/2018
641.87,12/11/2021
107.22,31/12/2019
309.63,06/03/2015
302.18,20/10/2015
12.80,28/12/2021
3.10,23/03/2016
12.61,25/03/2015
0.19,18/02/2015
530.42,28/03/2019
12.83,31/12/2019
35.00,08/05/2017
322.70,01/06/2016
14.44,27/04/2021
109.85,07/08/2018
26.98,11/11/2016
621.55,30/09/2021
69.50,12/09/2016
0.90,07/09/2017
14.30,18/03/2016
12.95,31/07/2020
"29,313.32",08/06/2022
30.00,03/08/2020
1.41,01/07/2019
4.65,16/10/2017
31.00,01/02/2017
1.33,05/08/2016
320.00,17/10/2017
20.53,01/02/2016
6.20,01/04/2015
NA,20/09/2021
3.20,15/12/2022
9.51,01/07/2018
1.60,01/04/2019
5.10,02/12/2019
65.50,21/02/2017
2.55,01/11/2021
86.13,01/09/2018
12.50,04/10/2021
126.00,22/03/2021
5.15,03/04/2019
6.41,05/11/2021
731.93,19/12/2019
12.08,17/02/2017
1.09,04/09/2019
125.27,30/12/2017
"1,843.26",01/08/2018
9.00,04/09/2018
15.83,04/12/2018
7.42,01/05/2018
2.74,30/11/2021
2.00,31/08/2021
0.70,04/01/2022
0.23,01/01/2019
3.00,21/06/2021
1.45,17/10/2022
5.00,30/06/2015
20.10,28/02/2017
12.00,31/03/2017
1.70,30/07/2018
5.91,28/05/2019
24.48,31/01/2022
0.50,28/08/2020
1.01,12/02/2021
7.50,01/06/2017
10.80,14/12/2016
0.15,18/11/2019
5.50,12/12/2019
15.00,31/03/2017
110.00,01/10/2022
0.80,30/11/2021
9.94,31/03/2016
1.40,04/01/2016
1.45,30/11/2016
5.80,31/07/2017
5.97,15/09/2017
0.27,20/03/2017
0.38,30/03/2018
5.50,31/08/2020
0.61,01/09/2018
30.00,30/09/2020
12.73,17/11/2015
15.00,01/03/2016
1.92,06/06/2022
0.14,03/04/2020
0.17,23/10/2019
13.78,02/01/2015
0.23,01/12/2020
7.21,19/08/2022
0.98,15/08/2019
1.00,07/01/2019
76.40,01/02/2019
3.40,19/01/2022
0.08,28/08/2018
0.25,03/03/2021
1.24,31/10/2019
1.16,29/08/2022
3.40,01/03/2021
52.60,07/04/2017
6.60,15/01/2021
6.34,09/10/2018
2.20,02/10/2017
7.90,11/02/2019
20.50,30/10/2019
1.89,26/07/2018
0.69,05/03/2020
0.01,03/02/2020
0.50,01/05/2017
0.10,29/10/2016
5.25,23/12/2021
0.50,31/12/2018
12.50,31/01/2018
2.69,01/06/2022
"4,000.00",27/07/2021
2.94,01/10/2019
1.50,12/09/2022
25.25,14/05/2020
53.40,30/11/2017
2.34,31/10/2018
0.35,02/11/2020
1.00,01/01/2018
0.34,17/04/2018
0.09,17/10/2016
84.63,30/06/2021
0.01,31/03/2019
19.35,23/07/2018
5.80,18/08/2021
8.63,03/12/2021
1.30,30/11/2018
0.60,13/11/2019
28.00,05/10/2017
1.90,09/01/2015
10.70,31/07/2018
2.91,10/06/2022
220.00,30/09/2019
0.03,02/07/2016
1.30,31/05/2018
0.28,19/12/2019
4.52,14/05/2021
5.10,31/10/2019
0.50,04/03/2015
0.74,23/10/2017
0.55,27/01/2022
3.19,04/09/2018
4.00,28/02/2018
1.30,22/06/2017
0.05,31/01/2016
0.70,01/02/2022
NA,12/12/2022
6.85,20/05/2019
8.50,22/07/2015
36.40,01/01/2016
35.00,01/01/2016
21.25,31/10/2018
0.40,31/08/2020
2.41,15/01/2019
66.78,11/06/2019
0.29,19/03/2018
2.90,01/06/2021
0.53,14/08/2017
0.03,29/04/2019
0.28,30/09/2022
20.10,14/09/2017
40.00,14/05/2021
0.15,01/07/2015
4.25,01/07/2020
3.38,21/10/2019
8.20,31/07/2015
40.00,11/03/2021
34.30,01/02/2016
40.00,04/06/2018
10.85,28/01/2016
13.00,30/10/2020
470.00,05/12/2019
0.53,22/09/2016
16.72,28/06/2021
0.96,28/02/2019
5.37,18/11/2021
9.40,19/03/2018
18.19,31/03/2022
13.08,01/08/2018
5.80,31/12/2021
1.23,14/05/2020
0.50,23/02/2015
2.70,29/04/2019
205.00,14/12/2021
0.22,31/12/2019
89.80,31/12/2020
23.00,01/06/2021
0.42,25/01/2019
60.00,01/09/2020
61.10,01/09/2015
2.90,04/10/2019
7.00,09/01/2018
3.48,24/11/2015
15.22,24/10/2018
15.00,07/10/2019
1.20,30/11/2018
25.50,22/06/2018
0.15,07/08/2019
0.50,06/07/2018
24.41,07/11/2019
0.25,20/06/2018
10.11,13/05/2021
0.80,31/12/2018
3.40,05/05/2017
"1,602.18",06/08/2018
21.00,28/04/2016
40.00,01/07/2020
4.50,01/04/2019
0.71,21/07/2016
"6,412.27",27/07/2020
3.20,31/10/2017
6.00,07/03/2017
5.00,29/06/2017
14.00,01/10/2015
8.37,04/06/2018
1.04,30/09/2016
2.28,01/04/2018
1.49,07/09/2016
0.01,24/01/2018
24.00,23/02/2019
1.39,01/07/2015
312.00,30/04/2021
0.87,27/11/2015
41.50,12/02/2018
4.19,31/03/2018
0.53,30/12/2020
0.50,01/01/2018
10.71,17/08/2022
340.00,28/11/2017
7.58,01/08/2022
475.00,01/04/2021
0.44,19/04/2018
0.70,01/10/2022
7.50,31/12/2021
0.50,24/01/2017
56.00,18/11/2019
232.00,08/02/2018
320.16,15/09/2022
0.01,11/09/2018
3.35,30/06/2017
0.13,17/09/2016
0.95,19/02/2020
8.75,28/02/2017
3.97,26/06/2020
1.90,23/03/2021
0.85,31/03/2016
4.34,20/12/2017
47.00,31/03/2018
29.00,30/12/2019
3.72,21/09/2016
10.00,01/07/2021
0.90,30/04/2017
2.80,08/12/2017
2.84,31/07/2020
215.67,20/12/2018
2.70,28/03/2020
130.30,12/12/2019
12.60,31/03/2020
2.99,30/06/2018
10.13,01/12/2020
11.50,04/05/2022
775.50,18/04/2018
13.87,22/02/2017
0.09,31/12/2016
18.00,30/09/2018
0.50,19/12/2019
700.00,31/03/2021
2.00,10/07/2021
0.30,01/07/2019
7.41,21/12/2018
5.67,13/10/2021
24.00,17/10/2022
13.06,01/01/2016
12.46,06/03/2019
2.20,13/12/2021
1.83,10/01/2018
2.43,23/06/2016
"1,510.00",07/04/2021
0.30,16/03/2022
35.10,01/03/2018
5.25,30/04/2020
250.00,02/08/2021
449.32,08/12/2022
236.50,01/06/2015
3.50,28/02/2018
125.00,22/12/2020
4.68,24/11/2017
2.23,30/04/2015
3.54,18/09/2017
47.04,13/10/2021
279.00,01/05/2015
400.00,01/07/2015
1.24,01/07/2019
"1,842.32",09/09/2021
4.32,22/12/2022
0.15,01/05/2020
154.43,21/12/2017
5.77,06/07/2016
0.09,06/11/2018
267.23,31/05/2019
4.74,24/08/2017
3.26,15/09/2017
"3,943.83",12/07/2017
18.68,22/08/2018
14.39,29/07/2015
31.59,03/11/2015
395.65,27/07/2021
492.31,15/10/2019
"1,515.90",08/03/2021
"1,015.85",16/08/2021
22.00,12/11/2015
23.29,23/01/2019
63.26,01/04/2021
13.57,01/10/2015
26.05,05/07/2018
2.45,11/11/2015
83.00,28/12/2016
17.78,15/09/2017
153.20,30/06/2021
21.90,10/02/2020
36.74,30/04/2018
356.72,19/12/2016
47.89,19/12/2016
1.71,12/05/2022
88.47,31/05/2018
48.93,26/10/2018
101.77,07/12/2021
0.00,05/04/2021
0.00,29/04/2021
0.00,30/04/2021
104.79,30/06/2015
7.14,21/01/2021
3.05,26/07/2018
3.60,18/12/2018
19.74,25/09/2019
56.96,30/11/2017
13.50,02/05/2022
12.31,02/03/2017
1.83,15/12/2017
4.97,31/12/2018
2.04,31/12/2021
9.65,28/10/2020
12.82,06/05/2022
9.85,29/07/2022
5.22,27/10/2015
149.02,28/06/2016
7.74,12/01/2015
62.71,05/11/2019
85.32,25/12/2020
6.55,31/03/2015
1.84,27/09/2019
48.69,06/02/2018
10.23,30/11/2015
20.85,13/12/2020
5.60,16/12/2015
31.60,01/04/2015
12.34,30/06/2016
10.16,31/12/2015
82.75,19/10/2017
1.37,31/05/2016
"13,404.03",03/10/2022
11.04,26/06/2017
5.76,18/01/2017
744.24,25/10/2016
"1,445.38",23/11/2016
"1,445.38",25/11/2016
108.64,12/10/2018
9.72,30/07/2019
10.24,07/11/2017
0.36,31/01/2015
40.14,31/12/2017
7.64,20/05/2016
0.48,19/05/2015
0.06,30/11/2017
0.23,31/05/2016
0.04,29/06/2021
12.46,11/06/2021
13.21,02/06/2020
0.74,16/07/2015
1.39,13/03/2017
0.46,01/09/2021
16.93,31/12/2017
3.28,14/10/2016
90.59,30/09/2015
14.50,08/08/2020
29.84,16/12/2022
22.31,07/07/2017
13.63,18/07/2017
5.16,30/03/2018
6.16,08/03/2021
8.00,31/05/2015
189.52,30/12/2015
0.79,10/09/2016
57.40,29/05/2020
3.31,01/04/2022
35.61,27/10/2022
134.40,27/10/2021
8.85,30/06/2015
2.40,23/07/2021
4.60,31/08/2016
2.29,11/12/2019
2.20,11/12/2019
12.11,10/10/2016
18.99,30/11/2019
0.10,12/10/2015
0.87,31/08/2016
"1,172.50",01/04/2022
12.85,01/12/2020
0.07,10/01/2020
1.19,31/05/2021
55.00,27/09/2017
8.29,30/06/2020
7.13,01/12/2015
32.11,31/12/2019
7.17,24/01/2019
8.63,20/02/2019
0.72,20/11/2017
0.34,01/07/2020
69.00,06/02/2020
403.60,07/10/2022
11.48,13/07/2021
4.20,26/01/2022
14.64,23/12/2022
40.76,14/12/2016
2.30,01/08/2021
3.70,01/04/2016
39.22,14/02/2019
"2,600.00",01/10/2018
364.53,20/01/2022
10.12,15/07/2015
363.76,21/01/2020
7.50,10/05/2021
13.40,05/03/2019
15.90,31/01/2018
26.00,03/02/2017
9.59,31/01/2018
3.89,24/06/2020
2.79,03/04/2017
