Sector,Region,year,Value £M
Financials,EMEA,2004,130610.51000000001
Healthcare,EMEA,2004,588.18
"Technology, Media & Telecommunications",EMEA,2004,7086.4400000000005
Financials,APAC,2005,43584.4
Healthcare,APAC,2005,48.83
"Technology, Media & Telecommunications",APAC,2005,3410.23
Financials,Americas,2005,287066.75
Healthcare,Americas,2005,4360.86
"Technology, Media & Telecommunications",Americas,2005,51931.409999999996
Financials,EMEA,2005,152632.65
Healthcare,EMEA,2005,2408.05
"Technology, Media & Telecommunications",EMEA,2005,15233.34
Financials,APAC,2006,68313.99
Healthcare,APAC,2006,34.78
"Technology, Media & Telecommunications",APAC,2006,3648.15
Financials,Americas,2006,383448.89
Healthcare,Americas,2006,5012.29
"Technology, Media & Telecommunications",Americas,2006,101427.09999999999
Financials,EMEA,2006,321612.55
Healthcare,EMEA,2006,215.71
"Technology, Media & Telecommunications",EMEA,2006,13169.14
Financials,APAC,2007,78486.69
Healthcare,APAC,2007,125.78999999999999
"Technology, Media & Telecommunications",APAC,2007,3946.29
Financials,Americas,2007,372848.14
Healthcare,Americas,2007,4218.62
"Technology, Media & Telecommunications",Americas,2007,65184.09
Financials,EMEA,2007,612536.28
Healthcare,EMEA,2007,2709.34
"Technology, Media & Telecommunications",EMEA,2007,26403.96
Financials,APAC,2008,98280.53
Healthcare,APAC,2008,103.85000000000001
"Technology, Media & Telecommunications",APAC,2008,3120.48
Financials,Americas,2008,331279.23
Healthcare,Americas,2008,4860.76
"Technology, Media & Telecommunications",Americas,2008,83145.23
Financials,EMEA,2008,251596.66999999998
Healthcare,EMEA,2008,969.4499999999999
"Technology, Media & Telecommunications",EMEA,2008,14430.72
Financials,APAC,2009,53142.4
Healthcare,APAC,2009,58.34
"Technology, Media & Telecommunications",APAC,2009,2817.83
Financials,Americas,2009,124665.83
Healthcare,Americas,2009,986.1899999999999
"Technology, Media & Telecommunications",Americas,2009,25480.46
Financials,EMEA,2009,118743.76
Healthcare,EMEA,2009,255.58999999999997
"Technology, Media & Telecommunications",EMEA,2009,8644.88
Financials,APAC,2010,43028.66
Healthcare,APAC,2010,58.27
"Technology, Media & Telecommunications",APAC,2010,1758.01
Financials,Americas,2010,210444.46
Healthcare,Americas,2010,5193.53
"Technology, Media & Telecommunications",Americas,2010,61273.590000000004
Financials,EMEA,2010,164822.35
Healthcare,EMEA,2010,340.87
"Technology, Media & Telecommunications",EMEA,2010,15091.02
Financials,APAC,2011,83319.09
Healthcare,APAC,2011,499.04999999999995
"Technology, Media & Telecommunications",APAC,2011,4914.37
Financials,Americas,2011,273623.08
Healthcare,Americas,2011,5347.04
"Technology, Media & Telecommunications",Americas,2011,47908.299999999996
Financials,EMEA,2011,202503.91
Healthcare,EMEA,2011,841.25
"Technology, Media & Telecommunications",EMEA,2011,20555.54
Financials,APAC,2012,61975.8
Healthcare,APAC,2012,207.42
"Technology, Media & Telecommunications",APAC,2012,5710.39
Financials,Americas,2012,239527.2
Healthcare,Americas,2012,2849.69
"Technology, Media & Telecommunications",Americas,2012,54338.61
Financials,EMEA,2012,136927.01
Healthcare,EMEA,2012,226.82
"Technology, Media & Telecommunications",EMEA,2012,20625.670000000002
Financials,APAC,2013,57789.07
Healthcare,APAC,2013,904.43
"Technology, Media & Telecommunications",APAC,2013,3731.34
Financials,Americas,2013,247518.45
Healthcare,Americas,2013,3347.5
"Technology, Media & Telecommunications",Americas,2013,77578.81
Financials,EMEA,2013,149205.85
Healthcare,EMEA,2013,2205.9900000000002
"Technology, Media & Telecommunications",EMEA,2013,17418.03
Financials,APAC,2014,127526.84
Healthcare,APAC,2014,446.79
"Technology, Media & Telecommunications",APAC,2014,11257.52
Financials,Americas,2014,257202.11
Healthcare,Americas,2014,11336.550000000001
"Technology, Media & Telecommunications",Americas,2014,58878.76
Financials,EMEA,2014,175574.53
Healthcare,EMEA,2014,7500.280000000001
"Technology, Media & Telecommunications",EMEA,2014,37592.15
Financials,APAC,2015,147104.63
Healthcare,APAC,2015,794.26
"Technology, Media & Telecommunications",APAC,2015,8847.02
Financials,Americas,2015,477061.42
Healthcare,Americas,2015,7016.03
"Technology, Media & Telecommunications",Americas,2015,66501.31
Financials,EMEA,2015,200720.33
Healthcare,EMEA,2015,652.01
"Technology, Media & Telecommunications",EMEA,2015,45763.8
Financials,APAC,2016,104315.73
Healthcare,APAC,2016,558.74
"Technology, Media & Telecommunications",APAC,2016,9706.16
Financials,Americas,2016,292030.28
Healthcare,Americas,2016,26731.719999999998
"Technology, Media & Telecommunications",Americas,2016,113479.18000000001
Financials,EMEA,2016,149348.04
Healthcare,EMEA,2016,10256.47
"Technology, Media & Telecommunications",EMEA,2016,26035.49
Financials,APAC,2017,71810.33
Healthcare,APAC,2017,1051.95
"Technology, Media & Telecommunications",APAC,2017,9766.52
Financials,Americas,2017,381525.07
Healthcare,Americas,2017,11684.92
"Technology, Media & Telecommunications",Americas,2017,70377.85
Financials,EMEA,2017,178402.16
Healthcare,EMEA,2017,741.21
"Technology, Media & Telecommunications",EMEA,2017,48860.36
Financials,APAC,2018,58442.46
Healthcare,APAC,2018,600.88
"Technology, Media & Telecommunications",APAC,2018,15529.97
Financials,Americas,2018,406437.83999999997
Healthcare,Americas,2018,18024.27
"Technology, Media & Telecommunications",Americas,2018,130859.66
Financials,EMEA,2018,188268.46
Healthcare,EMEA,2018,3847.45
"Technology, Media & Telecommunications",EMEA,2018,17308.74
Financials,APAC,2019,59893.1
Healthcare,APAC,2019,808.05
"Technology, Media & Telecommunications",APAC,2019,19747.6
Financials,Americas,2019,428039.08
Healthcare,Americas,2019,18893.7
"Technology, Media & Telecommunications",Americas,2019,114081.44
Financials,EMEA,2019,124639.5
Healthcare,EMEA,2019,625.1
"Technology, Media & Telecommunications",EMEA,2019,25344.36
Financials,APAC,2020,61221.69
Healthcare,APAC,2020,954.8199999999999
"Technology, Media & Telecommunications",APAC,2020,5280.79
Financials,Americas,2020,400600.73
Healthcare,Americas,2020,28887.219999999998
"Technology, Media & Telecommunications",Americas,2020,73612.85
Financials,EMEA,2020,225845.88
Healthcare,EMEA,2020,20600.19
"Technology, Media & Telecommunications",EMEA,2020,33883.43
Financials,APAC,2021,177266.5
Healthcare,APAC,2021,376.31
"Technology, Media & Telecommunications",APAC,2021,17044.66
Financials,Americas,2021,744823.83
Healthcare,Americas,2021,72984.69
"Technology, Media & Telecommunications",Americas,2021,197343.53
Financials,EMEA,2021,274995.06
Healthcare,EMEA,2021,12028.92
"Technology, Media & Telecommunications",EMEA,2021,56570.03
Financials,APAC,2022,25454.26
Healthcare,APAC,2022,436.26
"Technology, Media & Telecommunications",APAC,2022,5097.62
Financials,Americas,2022,126910.54
Healthcare,Americas,2022,11197.03
"Technology, Media & Telecommunications",Americas,2022,68812.98
Financials,EMEA,2022,63823.97
Healthcare,EMEA,2022,1442.23
"Technology, Media & Telecommunications",EMEA,2022,28254.25
